phi, e_xx, e_yy, e_zz, e_yz, e_xz, e_xy
84, -0.0013721620498858178, 0.006881549274904974, -0.0054160077676436305, 0.0, 0.0, -0.007840323475896459
85, -0.001156031687191365, 0.00665036351982838, -0.005416472121410823, 0.0, 0.0, -0.00800381416328616
86, -0.0009342733829138897, 0.006411876196467755, -0.005415286565299288, 0.0, 0.0, -0.008157149021935392
87, -0.0007073281987089679, 0.006166533462299944, -0.0054124514604409054, 0.0, 0.0, -0.008299987426800914
88, -0.0004756522130454766, 0.005914796999865767, -0.005407967670436077, 0.0, 0.0, -0.008432013909693463
89, -0.00023971532168001167, 0.00565714281553737, -0.005401836561090677, 0.0, 0.0, -0.008552939000791017
90, -8.952838470577262e-19, 0.00539406, -0.00539406, 0.0, 0.0, -0.0086625
91, 0.00024299996938747037, 0.005126049453825738, -0.005384640355979892, 0.0, 0.0, -0.00876046167605694
92, 0.0004887808003487527, 0.004853622581612205, -0.00537358049834517, 0.0, 0.0, -0.008846616891460716
93, 0.0007368300346404694, 0.004577299958245066, -0.005360883796035608, 0.0, 0.0, -0.008920787151528563
94, 0.0009866278974158481, 0.0042976099709193015, -0.0053465541165897265, 0.0, 0.0, -0.008982823076076613
95, 0.001237648673120106, 0.004015087440620401, -0.0053305958249667, 0.0, 0.0, -0.009032604792437454
96, 0.0014893620980185773, 0.0037302722268226433, -0.005313013782216746, 0.0, 0.0, -0.009070042248742497
97, 0.0017412347655554753, 0.0034437078192073797, -0.00529381334400041, 0.0, 0.0, -0.009095075446615114
98, 0.0019927315407059143, 0.0031559399202395902, -0.0052730003589571695, 0.0, 0.0, -0.009107674592641035
99, 0.002243316979459137, 0.002867515022465712, -0.0052505811669238895, 0.0, 0.0, -0.00910784016820484
100, 0.002492456749556569, 0.0025789789844100973, -0.005226562597003641, 0.0, 0.0, -0.009095602917504662
101, 0.002739619048604905, 0.0022908756089509096, -0.0052009519654854985, 0.0, 0.0, -0.009071023753781271
102, 0.002984276015691399, 0.0020037452280493783, -0.005173757073615915, 0.0, 0.0, -0.009034193584021386
103, 0.0032259051326461985, 0.00171812329768865, -0.005144986205222398, 0.0, 0.0, -0.0089852330526183
104, 0.0034639906111249242, 0.0014345390068502381, -0.005114648124190171, 0.0, 0.0, -0.008924292204694545
105, 0.0036980247617232555, 0.0011535139043174624, -0.005082752071792603, 0.0, 0.0, -0.008851550070011276
106, 0.0039275093413845144, 0.0008755605470461721, -0.0050493077638762455, 0.0, 0.0, -0.00876721416860631
107, 0.00415195687542056, 0.0006011811737836986, -0.005014325387901268, 0.0, 0.0, -0.008671519939516939
108, 0.004370891950535599, 0.0003308664075477604, -0.0049778155998382746, 0.0, 0.0, -0.008564730094154092
109, 0.004583852475322137, 6.509399049749442e-05, -0.004939789520922388, 0.0, 0.0, -0.008447133896100656
110, 0.004790390904786959, -0.00019567244535989884, -0.004900258734265614, 0.0, 0.0, -0.008319046369307916
111, 0.004990075425563662, -0.000450984568281952, -0.004859235281328508, 0.0, 0.0, -0.008180807436860178
112, 0.0051824910985758055, -0.0007004104944857351, -0.004816731658252243, 0.0, 0.0, -0.00803278099266743
113, 0.0053672409560311255, -0.0009435358903035892, -0.004772760812052145, 0.0, 0.0, -0.007875353908629429
114, 0.005543947049752366, -0.0011799650258037784, -0.004727336136673923, 0.0, 0.0, -0.007708934979991131
115, 0.005712251447983408, -0.0014093217770131043, -0.004680471468913741, 0.0, 0.0, -0.00753395381177843
116, 0.005871817177950411, -0.001631250574019589, -0.004632181084203378, 0.0, 0.0, -0.007350859649364266
117, 0.006022329111606248, -0.0018454172923817534, -0.004582479692261823, 0.0, 0.0, -0.007160120156368049
118, 0.006163494792141985, -0.002051510085426606, -0.004531382432614526, 0.0, 0.0, -0.006962220143235135
119, 0.0062950451990112935, -0.002249240155180387, -0.0044789048699817695, 0.0, 0.0, -0.0067576602499782755
120, 0.006416735449382179, -0.002438342459844689, -0.00442506298953749, 0.0, 0.0, -0.006546955586687764
121, 0.006528345434104172, -0.002618576355904272, -0.004369873192040049, 0.0, 0.0, -0.006330634335532917
122, 0.0066296803864587155, -0.0027897261731324066, -0.0043133522888364004, 0.0, 0.0, -0.006109236318082321
123, 0.006720571382144298, -0.002951601720943431, -0.004255517496741191, 0.0, 0.0, -0.005883311531865169
124, 0.006800875769136215, -0.0031040387247304214, -0.0041963864327923504, 0.0, 0.0, -0.0056534186601800195
125, 0.006870477526252906, -0.0032468991910179776, -0.004135977108884773, 0.0, 0.0, -0.005420123559230093
126, 0.006929287549455842, -0.0033800717004550803, -0.004074307926283719, 0.0, 0.0, -0.005183997726726278
127, 0.006977243865107993, -0.003503471627871033, -0.004011397670019612, 0.0, 0.0, -0.004945616756149194
128, 0.007014311769615713, -0.0036170412888172, -0.003947265503165936, 0.0, 0.0, -0.004705558780900922
